date, value 
2015-05-25, 6.5 
2015-09-14, 6.0 
2016-05-23, 5.8 
2018-01-29, 6.0 
2018-05-28, 6.5 
2018-07-16, 7.5 
2018-10-01, 8.5 
2018-12-03, 10.0 
2019-02-01, 10.3 
2019-04-01, 10.8 
2019-05-21, 12.3 
2019-07-17, 13.3 
2020-03-18, 12.5 
2020-03-25, 11.0 
2020-04-16, 9.0 
2020-04-17, 9.0 
2020-05-16, 8.0 
2020-05-18, 8.0 
2020-06-26, 7.0 
2021-09-21, 7.3 
2021-11-22, 8.8 
2021-12-15, 9.8 
2022-04-08, 12.3 
2022-05-24, 13.8 
2022-07-13, 15.0 
2022-11-28, 16.0 
2023-01-24, 17.0 
2023-03-03, 20.0 
2023-04-05, 21.0 
2023-06-27, 22.0 
2024-06-11, 20.5 
2024-07-30, 19.5 
2024-09-13, 17.5 
2024-11-05, 15.0 
2024-12-17, 13.0 
2025-01-28, 12.0 
2025-05-06, 11.0 
2025-12-16, 10.5 
