date,value
2013-07-02,99.440147
2013-07-03,99.747794
2013-07-04,99.883677
2013-07-05,99.942794
2013-07-08,100.015588
2013-07-09,100.009559
2013-07-10,99.969559
2013-07-12,100.046618
2013-07-15,100.156029
2013-07-16,100.2125
2013-07-17,100.249853
2013-07-18,100.716618
2013-07-19,100.734853
2013-07-22,100.617206
2013-07-23,100.673088
2013-07-24,100.6775
2013-07-25,100.796912
2013-07-26,101.051324
2013-07-29,101.414559
2013-07-30,101.853088
2013-07-31,101.773382
2013-08-01,101.695441
2013-08-02,101.857794
2013-08-05,101.977794
2013-08-06,102.088677
2013-08-07,102.209265
2013-08-12,102.380735
2013-08-13,102.520735
2013-08-15,102.5875
2013-08-16,102.692794
2013-08-19,102.871618
2013-08-20,103.133971
2013-08-21,103.366912
2013-08-22,103.480735
2013-08-23,103.528971
2013-08-26,103.576029
2013-08-27,103.645147
2013-08-28,103.725735
2013-08-29,103.988971
2013-08-30,104.399265
2013-09-02,104.476618
2013-09-03,104.850147
2013-09-04,104.882206
2013-09-05,104.739853
2013-09-06,104.711618
2013-09-09,104.672206
2013-09-10,104.769559
2013-09-11,104.7575
2013-09-12,104.744559
2013-09-13,104.855588
2013-09-16,104.946324
2013-09-17,104.996912
2013-09-18,105.417059
2013-09-19,105.732206
2013-09-20,105.658677
2013-09-23,105.592794
2013-09-24,105.783382
2013-09-25,106.250441
2013-09-26,107.056324
2013-09-27,105.565441
2013-09-30,105.766324
2013-10-01,105.938824
2013-10-02,105.821912
2013-10-03,105.851029
2013-10-04,106.051177
2013-10-07,106.122941
2013-10-08,106.092206
2013-10-09,105.913382
2013-10-10,105.981324
2013-10-11,106.0525
2013-10-14,106.117588
2013-10-21,106.196706
2013-10-22,106.233677
2013-10-23,106.289559
2013-10-24,106.328677
2013-10-25,106.3875
2013-10-28,106.424853
2013-10-29,106.5275
2013-10-30,106.671912
2013-10-31,106.731912
2013-11-01,106.849853
2013-11-04,106.918235
2013-11-05,107.140147
2013-11-06,107.249559
2013-11-07,107.246324
2013-11-08,107.275441
2013-11-11,107.343088
2013-11-12,107.385147
2013-11-13,107.4275
2013-11-18,107.445147
2013-11-19,107.434265
2013-11-20,107.489118
2013-11-21,107.512206
2013-11-22,107.511618
2013-11-25,107.612794
2013-11-26,107.988382
2013-11-27,108.1875
2013-11-28,108.201029
2013-11-29,108.384853
2013-12-02,108.394853
2013-12-03,108.414559
2013-12-04,108.481618
2013-12-05,108.444853
2013-12-06,108.421029
2013-12-09,108.127647
2013-12-10,107.933162
2013-12-11,107.250441
2013-12-12,107.093677
2013-12-13,107.163382
2013-12-16,107.055441
2013-12-17,107.130441
2013-12-18,106.605735
2013-12-19,106.410294
2013-12-20,106.100441
2013-12-23,106.081029
2013-12-24,105.575
2013-12-26,105.144265
2013-12-27,105.444559
2013-12-30,105.525147
2013-12-31,105.5925
2014-01-02,105.3675
2014-01-03,105.367794
2014-01-06,105.366324
2014-01-07,105.448382
2014-01-08,105.500147
2014-01-09,105.419559
2014-01-10,105.436618
2014-01-13,105.430441
2014-01-15,105.4425
2014-01-16,105.359265
2014-01-17,105.350147
2014-01-20,105.337794
2014-01-21,105.399559
2014-01-22,105.395147
2014-01-23,105.330441
2014-01-24,105.354559
2014-01-27,105.401029
