Country,Indicator,Date,Close,Source,Frequency
akistan,Exchange Rate,12/30/2022,226.4,Trading Economics,Daily
akistan,Exchange Rate,12/29/2022,226.4,Trading Economics,Daily
akistan,Exchange Rate,12/28/2022,226.5,Trading Economics,Daily
akistan,Exchange Rate,12/27/2022,226.25,Trading Economics,Daily
akistan,Exchange Rate,12/26/2022,225.75,Trading Economics,Daily
akistan,Exchange Rate,12/23/2022,225.75,Trading Economics,Daily
akistan,Exchange Rate,12/22/2022,225.5,Trading Economics,Daily
akistan,Exchange Rate,12/21/2022,225.5,Trading Economics,Daily
akistan,Exchange Rate,12/20/2022,225.25,Trading Economics,Daily
akistan,Exchange Rate,12/19/2022,224.5,Trading Economics,Daily
akistan,Exchange Rate,12/16/2022,224.5,Trading Economics,Daily
akistan,Exchange Rate,12/15/2022,224.75,Trading Economics,Daily
akistan,Exchange Rate,12/14/2022,224.75,Trading Economics,Daily
akistan,Exchange Rate,12/13/2022,224.75,Trading Economics,Daily
akistan,Exchange Rate,12/12/2022,224.75,Trading Economics,Daily
akistan,Exchange Rate,12/9/2022,224.5,Trading Economics,Daily
akistan,Exchange Rate,12/8/2022,224.5,Trading Economics,Daily
akistan,Exchange Rate,12/7/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,12/6/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,12/5/2022,224,Trading Economics,Daily
akistan,Exchange Rate,12/2/2022,223.65,Trading Economics,Daily
akistan,Exchange Rate,12/1/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,11/30/2022,224.5,Trading Economics,Daily
akistan,Exchange Rate,11/29/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,11/28/2022,224,Trading Economics,Daily
akistan,Exchange Rate,11/25/2022,224.25,Trading Economics,Daily
akistan,Exchange Rate,11/24/2022,223.9,Trading Economics,Daily
akistan,Exchange Rate,11/23/2022,223.8,Trading Economics,Daily
akistan,Exchange Rate,11/22/2022,223.75,Trading Economics,Daily
akistan,Exchange Rate,11/21/2022,224,Trading Economics,Daily
akistan,Exchange Rate,11/18/2022,223.5,Trading Economics,Daily
akistan,Exchange Rate,11/17/2022,222,Trading Economics,Daily
akistan,Exchange Rate,11/16/2022,222.05,Trading Economics,Daily
akistan,Exchange Rate,11/15/2022,221.45,Trading Economics,Daily
akistan,Exchange Rate,11/14/2022,221,Trading Economics,Daily
akistan,Exchange Rate,11/11/2022,221.11,Trading Economics,Daily
akistan,Exchange Rate,11/10/2022,221.03,Trading Economics,Daily
